filename,Transect Distance (m),Ice,Water
0.jpg,0,77.61279297,22.38720703
0.jpg,240,77.61279297,22.38720703
1.jpg,1,99.81738281,0.182617188
1.jpg,241,99.81738281,0.182617188
2.jpg,111,98.1652832,1.8347167968750002
2.jpg,351,98.1652832,1.8347167968750002
3.jpg,163,97.43676758,2.563232422
3.jpg,403,97.43676758,2.563232422
4.jpg,174,99.03735352,0.962646484
4.jpg,414,99.03735352,0.962646484
5.jpg,185,93.57543945,6.424560546874999
5.jpg,425,93.57543945,6.424560546874999
6.jpg,436,63.8605957,36.1394043
6.jpg,196,63.8605957,36.1394043
7.jpg,447,97.32348632,2.676513672
7.jpg,207,97.32348632,2.676513672
8.jpg,218,89.65502929,10.3449707
8.jpg,458,89.65502929,10.3449707
9.jpg,469,75.77026368,24.22973633
9.jpg,229,75.77026368,24.22973633
10.jpg,2,74.1328125,25.8671875
10.jpg,242,74.1328125,25.8671875
11.jpg,253,79.77001953,20.22998047
11.jpg,13,79.77001953,20.22998047
12.jpg,24,88.51220703,11.48779297
12.jpg,264,88.51220703,11.48779297
13.jpg,274,88.53955078,11.46044922
13.jpg,34,88.53955078,11.46044922
14.jpg,45,88.56762696,11.43237305
14.jpg,285,88.56762696,11.43237305
15.jpg,296,95.14575196,4.854248047
15.jpg,56,95.14575196,4.854248047
16.jpg,307,99.98876953,0.011230469
16.jpg,67,99.98876953,0.011230469
17.jpg,318,99.98779297,0.012207031
17.jpg,78,99.98779297,0.012207031
18.jpg,89,98.08959961,1.910400391
18.jpg,329,98.08959961,1.910400391
19.jpg,100,88.49438477,11.50561523
19.jpg,340,88.49438477,11.50561523
20.jpg,352,93.68310547,6.316894531
20.jpg,112,93.68310547,6.316894531
21.jpg,363,88.94628907,11.05371094
21.jpg,123,88.94628907,11.05371094
22.jpg,134,89.68530273,10.31469727
22.jpg,374,89.68530273,10.31469727
23.jpg,385,89.11108398,10.88891602
23.jpg,145,89.11108398,10.88891602
24.jpg,156,97.48779297,2.512207031
24.jpg,396,97.48779297,2.512207031
25.jpg,158,91.92333985,8.076660156
25.jpg,398,91.92333985,8.076660156
26.jpg,159,75.50146484,24.49853516
26.jpg,399,75.50146484,24.49853516
27.jpg,160,85.24340821,14.756591796874998
27.jpg,400,85.24340821,14.756591796874998
28.jpg,401,85.61010743,14.38989258
28.jpg,161,85.61010743,14.38989258
29.jpg,162,95.94238281,4.057617188
29.jpg,402,95.94238281,4.057617188
30.jpg,164,87.55053711,12.44946289
30.jpg,404,87.55053711,12.44946289
31.jpg,165,91.55151367,8.448486328
31.jpg,405,91.55151367,8.448486328
32.jpg,166,83.32299805,16.67700195
32.jpg,406,83.32299805,16.67700195
33.jpg,167,92.3178711,7.682128906250001
33.jpg,407,92.3178711,7.682128906250001
34.jpg,168,98.67529297,1.324707031
34.jpg,408,98.67529297,1.324707031
35.jpg,409,78.21166992,21.78833008
35.jpg,169,78.21166992,21.78833008
36.jpg,410,88.61889648,11.38110352
36.jpg,170,88.61889648,11.38110352
37.jpg,411,90.65185547,9.348144531
37.jpg,171,90.65185547,9.348144531
38.jpg,412,75.09741211,24.90258789
38.jpg,172,75.09741211,24.90258789
39.jpg,413,83.86938477,16.13061523
39.jpg,173,83.86938477,16.13061523
40.jpg,175,98.98999024,1.010009766
40.jpg,415,98.98999024,1.010009766
41.jpg,176,95.29663086,4.703369141
41.jpg,416,95.29663086,4.703369141
42.jpg,417,93.38574219,6.614257813
42.jpg,177,93.38574219,6.614257813
43.jpg,178,98.90625,1.09375
43.jpg,418,98.90625,1.09375
44.jpg,419,98.41137695,1.5886230468749998
44.jpg,179,98.41137695,1.5886230468749998
45.jpg,420,97.98803711,2.011962891
45.jpg,180,97.98803711,2.011962891
46.jpg,421,97.34228516,2.657714844
46.jpg,181,97.34228516,2.657714844
47.jpg,182,90.16845703,9.831542969
47.jpg,422,90.16845703,9.831542969
48.jpg,423,94.85034179,5.149658203
48.jpg,183,94.85034179,5.149658203
49.jpg,424,95.34448242,4.655517578
49.jpg,184,95.34448242,4.655517578
50.jpg,186,82.62817383,17.37182617
50.jpg,426,82.62817383,17.37182617
51.jpg,187,77.49340821,22.5065918
51.jpg,427,77.49340821,22.5065918
52.jpg,428,84.35668946,15.64331055
52.jpg,188,84.35668946,15.64331055
53.jpg,189,74.05566406,25.94433594
53.jpg,429,74.05566406,25.94433594
54.jpg,430,44.84863281,55.15136719
54.jpg,190,44.84863281,55.15136719
55.jpg,431,92.52270508,7.477294922
55.jpg,191,92.52270508,7.477294922
56.jpg,432,74.13427735,25.86572266
56.jpg,192,74.13427735,25.86572266
57.jpg,193,89.33300781,10.66699219
57.jpg,433,89.33300781,10.66699219
58.jpg,194,36.73046875,63.26953125
58.jpg,434,36.73046875,63.26953125
59.jpg,435,84.66113281,15.33886719
59.jpg,195,84.66113281,15.33886719
60.jpg,197,86.56518554,13.43481445
60.jpg,437,86.56518554,13.43481445
61.jpg,198,99.99560547,0.004394531
61.jpg,438,99.99560547,0.004394531
62.jpg,439,96.79296875,3.2070312500000004
62.jpg,199,96.79296875,3.2070312500000004
63.jpg,200,92.75708008,7.242919922
63.jpg,440,92.75708008,7.242919922
64.jpg,441,93.04052735,6.959472656
64.jpg,201,93.04052735,6.959472656
65.jpg,202,89.54638672,10.45361328
65.jpg,442,89.54638672,10.45361328
66.jpg,443,95.89477539,4.105224609
66.jpg,203,95.89477539,4.105224609
67.jpg,204,99.97509765,0.024902344
67.jpg,444,99.97509765,0.024902344
68.jpg,205,94.03955078,5.960449219
68.jpg,445,94.03955078,5.960449219
69.jpg,206,95.19604492,4.803955078
69.jpg,446,95.19604492,4.803955078
70.jpg,448,90.5769043,9.423095703
70.jpg,208,90.5769043,9.423095703
71.jpg,209,98.35009766,1.649902344
71.jpg,449,98.35009766,1.649902344
72.jpg,450,88.96948243,11.03051758
72.jpg,210,88.96948243,11.03051758
73.jpg,211,99.13525391,0.864746094
73.jpg,451,99.13525391,0.864746094
74.jpg,212,99.92236328,0.077636719
74.jpg,452,99.92236328,0.077636719
75.jpg,213,44.01342774,55.98657227
75.jpg,453,44.01342774,55.98657227
76.jpg,214,80.95776367,19.04223633
76.jpg,454,80.95776367,19.04223633
77.jpg,455,62.94458008,37.05541992
77.jpg,215,62.94458008,37.05541992
78.jpg,216,99.84521484,0.154785156
78.jpg,456,99.84521484,0.154785156
79.jpg,217,84.13354493,15.86645508
79.jpg,457,84.13354493,15.86645508
80.jpg,219,99.37890625,0.62109375
80.jpg,459,99.37890625,0.62109375
81.jpg,460,88.66772461,11.33227539
81.jpg,220,88.66772461,11.33227539
82.jpg,461,99.98583984,0.014160156249999998
82.jpg,221,99.98583984,0.014160156249999998
83.jpg,462,68.77490235,31.22509766
83.jpg,222,68.77490235,31.22509766
84.jpg,463,94.92456054,5.075439453
84.jpg,223,94.92456054,5.075439453
85.jpg,464,74.37158203,25.62841797
85.jpg,224,74.37158203,25.62841797
86.jpg,225,86.81298828,13.18701172
86.jpg,465,86.81298828,13.18701172
87.jpg,226,98.19848633,1.8015136718750002
87.jpg,466,98.19848633,1.8015136718750002
88.jpg,227,87.76904297,12.23095703
88.jpg,467,87.76904297,12.23095703
89.jpg,468,100,0
89.jpg,228,100,0
90.jpg,470,99.07739258,0.922607422
