Transect Distance (m),filename,datetime,Cluster_0_Percent,Cluster_0_HSV,Cluster_1_Percent,Cluster_1_HSV,Cluster_2_Percent,Cluster_2_HSV,,Ice,Water
0,0.jpg,1970-01-01T00:00:00.000,66.73388672,"(226.53, 221.04, 215.70)",22.38720703,"(46.33, 38.59, 31.21)",10.87890625,"(136.49, 129.95, 117.47)",,77.61279297,22.38720703
240,0.jpg,1970-01-01T00:00:00.000,66.73388672,"(226.53, 221.04, 215.70)",22.38720703,"(46.33, 38.59, 31.21)",10.87890625,"(136.49, 129.95, 117.47)",,77.61279297,22.38720703
1,1.jpg,1970-01-01T00:00:00.000,63.46191406,"(226.53, 221.04, 215.70)",0.182617188,"(46.33, 38.59, 31.21)",36.35546875,"(136.49, 129.95, 117.47)",,99.81738281,0.182617188
241,1.jpg,1970-01-01T00:00:00.000,63.46191406,"(226.53, 221.04, 215.70)",0.182617188,"(46.33, 38.59, 31.21)",36.35546875,"(136.49, 129.95, 117.47)",,99.81738281,0.182617188
111,2.jpg,1970-01-01T00:00:00.000,75.15771484,"(226.53, 221.04, 215.70)",1.8347167968750002,"(46.33, 38.59, 31.21)",23.00756836,"(136.49, 129.95, 117.47)",,98.1652832,1.8347167968750002
351,2.jpg,1970-01-01T00:00:00.000,75.15771484,"(226.53, 221.04, 215.70)",1.8347167968750002,"(46.33, 38.59, 31.21)",23.00756836,"(136.49, 129.95, 117.47)",,98.1652832,1.8347167968750002
163,3.jpg,1970-01-01T00:00:00.000,68.96069336,"(226.53, 221.04, 215.70)",2.563232422,"(46.33, 38.59, 31.21)",28.476074218750004,"(136.49, 129.95, 117.47)",,97.43676758,2.563232422
403,3.jpg,1970-01-01T00:00:00.000,68.96069336,"(226.53, 221.04, 215.70)",2.563232422,"(46.33, 38.59, 31.21)",28.476074218750004,"(136.49, 129.95, 117.47)",,97.43676758,2.563232422
174,4.jpg,1970-01-01T00:00:00.000,79.63183594,"(226.53, 221.04, 215.70)",0.962646484,"(46.33, 38.59, 31.21)",19.40551758,"(136.49, 129.95, 117.47)",,99.03735352,0.962646484
414,4.jpg,1970-01-01T00:00:00.000,79.63183594,"(226.53, 221.04, 215.70)",0.962646484,"(46.33, 38.59, 31.21)",19.40551758,"(136.49, 129.95, 117.47)",,99.03735352,0.962646484
185,5.jpg,1970-01-01T00:00:00.000,64.45751953,"(226.53, 221.04, 215.70)",6.424560546874999,"(46.33, 38.59, 31.21)",29.11791992,"(136.49, 129.95, 117.47)",,93.57543945,6.424560546874999
425,5.jpg,1970-01-01T00:00:00.000,64.45751953,"(226.53, 221.04, 215.70)",6.424560546874999,"(46.33, 38.59, 31.21)",29.11791992,"(136.49, 129.95, 117.47)",,93.57543945,6.424560546874999
436,6.jpg,1970-01-01T00:00:00.000,38.7512207,"(226.53, 221.04, 215.70)",36.1394043,"(46.33, 38.59, 31.21)",25.109375,"(136.49, 129.95, 117.47)",,63.8605957,36.1394043
196,6.jpg,1970-01-01T00:00:00.000,38.7512207,"(226.53, 221.04, 215.70)",36.1394043,"(46.33, 38.59, 31.21)",25.109375,"(136.49, 129.95, 117.47)",,63.8605957,36.1394043
447,7.jpg,1970-01-01T00:00:00.000,72.50537109,"(226.53, 221.04, 215.70)",2.676513672,"(46.33, 38.59, 31.21)",24.81811523,"(136.49, 129.95, 117.47)",,97.32348632,2.676513672
207,7.jpg,1970-01-01T00:00:00.000,72.50537109,"(226.53, 221.04, 215.70)",2.676513672,"(46.33, 38.59, 31.21)",24.81811523,"(136.49, 129.95, 117.47)",,97.32348632,2.676513672
218,8.jpg,1970-01-01T00:00:00.000,62.87988281,"(226.53, 221.04, 215.70)",10.3449707,"(46.33, 38.59, 31.21)",26.77514648,"(136.49, 129.95, 117.47)",,89.65502929,10.3449707
458,8.jpg,1970-01-01T00:00:00.000,62.87988281,"(226.53, 221.04, 215.70)",10.3449707,"(46.33, 38.59, 31.21)",26.77514648,"(136.49, 129.95, 117.47)",,89.65502929,10.3449707
